Index,Strain,Type,Rating,Effects,Description,Flavors,Nearest
476,Nightmare Cookies,hybrid,4.32,"Relaxed,Euphoric,Happy,Creative,Uplifted","The commonsense cross of White Nightmare and Girl Scout Cookies, Nightmare Cookies is a hybrid strain that locks the consumer to the couch while delivering robust, uplifting euphoria. Nightmare Cookies exhibits beautiful purple hues, bright orange pistils, and an aroma that is thick with pine sap, earth, and sweetness. Enjoy this strain toward the end of the day to capitalize on its relaxing effects, appetite stimulation, and overall sedation.","Sweet,Pine,Woody","476,566,705,710,455,1489"
477,Sour Patch Kiss,hybrid,4.32,"Uplifted,Happy,Relaxed,Creative,Talkative","Sour Patch Kiss by Elev8 Seeds was designed as a heavy-yielding trichome producer. This was achieved by crossing Kimbo Kush’s sweet, doughy aroma with Sour Kush’s pungent odor and generous production. Sour Patch Kiss stands as a 60/40 sativa-dominant hybrid but represents its Kush lineage in effects. Offering a heady rush at the onset due to its high-THC percentage, Sour Patch Kiss offers a melting euphoria that settles in the limbs as low-level sedation, curbing stress while honing focus.","Citrus,Earthy,Flowery","477,509,1046,216,841,1495"
478,Blue Nightmare,hybrid,4.32,"Euphoric,Relaxed,Happy,Giggly,Creative","Blue Nightmare, bred by RNM Flowers, is a resinous, berry-flavored hybrid cross between Blue Dream and Tahoe OG. From the Tahoe OG indica, Blue Nightmare inherits a thick bud structure and a heavy blanket of crystal trichomes that promises intense euphoria and creativity. Blue Nightmare maintains the famous blueberry aroma of its Blue Dream parent, along with many of its widely cherished happy and relaxing effects.","Berry,Earthy,Blueberry","478,1406,455,1133,1287,48"
479,Mt Hood Magic,hybrid,4.32,"Euphoric,Happy,Creative,Focused,Uplifted","Thought to be exclusive to Portland, Oregon dispensary Five Zero Trees, Mt. Hood Magic is a cross between Northern Lights #5 and Durban Poison. There a few different phenotypes available: two are indica-dominant and more resemble the NL5 portion of its genetics, testing at 17% and 14% THC; and one is sativa-dominant and similar to Durban Poison, testing at 19% THC.","Earthy,Sweet,Citrus","479,1542,732,233,2051,675"
480,Captains Cake,hybrid,4.32,"Euphoric,Relaxed,Energetic,Happy,Focused","Captain’s Cake by The Captain’s Connection is a hybrid cross between Girl Scout Cookies and White Fire Alien OG. With bright citrus terpenes on the nose and palate, and a sweet doughy earth aroma, Captain’s Cake is a crowd-pleaser with enjoyable relaxing effects. This strain is euphoric and easy on the limbs in small doses, but can get rather sedating with heavy consumption. Enjoy the laid-back energy of Captain’s Cake into the evening to set you up for a good night’s rest.","Earthy,Citrus,Sweet","480,803,343,743,109,440"
481,Blue Monster,indica,4.32,"Relaxed,Hungry,Talkative,Sleepy,Happy","Blue Monster is a powerful combination of G13, Blueberry, Northern Lights #5, and a Mexican landrace strain. Bred by Goldenseed, Blue Monster combines a sweet mix of flavors with strong indica effects. Its complex aroma of berries and tropical fruits exposes the influence of Blueberry and G13 genetics. When grown to its full potential, the forceful relaxation of Blue Monster can overwhelm novices with its immediate body sedation and commanding cerebral effects. This monster indica is sure to scare away sleepless nights and body pains.","Berry,Sweet,Diesel","481,960,848,647,1891,953"
482,Blue Knight,indica,4.32,"Relaxed,Uplifted,Hungry,Happy,Focused","Blue Knight is a rare indica-dominant strain with a noble lineage that stems from Blueberry and Kryptonite genetics. Hues of royal purple twist with deep blues and vivid greens in a visual display as multifaceted as its berry, vanilla aroma. Earthy, woody, and blueberry flavors are unleashed on the exhale, and the relaxing full-body effects that follow are often enough to soothe pain and stimulate the appetite.","Berry,Blueberry,Sweet","482,1145,1101,525,181,371"
483,Sun Ra,sativa,4.32,"Happy,Uplifted,Euphoric,Focused,Tingly","Sun Ra is a powerful blend of Colorado Seed Inc.’s most potent sativas, Sunburn and Rebel God Smoke. This heady synthesis yields a strain that stimulates the mind and body with upbeat energy. It has a pleasant and spicy aroma, yielding notes of fuel, earth, and a latent fruitiness that fades into the background. Enjoy this sativa-dominant strain in the daytime hours to maximize its motivating qualities.","Citrus,Sweet,Earthy","483,962,94,2024,2029,1373"
484,Pakistani Chitral Kush,indica,4.32,"Relaxed,Happy,Sleepy,Euphoric,Hungry","Chitral is a town in Pakistan known for making some of the best hash in the region. Pakistani Chitral Kush, also known as PCK, is a pure indica that is considered a selected landrace, meaning it is an indigenous strain that has been selectively inbred to enhance its characteristics. PCK produces a very colorful phenotype, often earning nicknames like Purple Pakistani or Purple Chitral. This strain is appreciated for its advanced resin production that enables this strain to produce the top-quality concentrates. PCK emits a diverse bouquet of aromas ranging from earthy caramel to sweet notes of fruits and berries. The influence of pure indica genetics creates powerfully relaxing body effects that helps to avoid anxieties and pain, as well as inducing sleep when needed.","Earthy,Sweet,Berry","484,1262,1035,989,847,163"
485,Blue Wreck,hybrid,4.32,"Sleepy,Happy,Euphoric,Relaxed,Uplifted","Blue Wreck, also called Blueberry Trainwreck, is a hybrid strain primarily led by its sativa influence. A cross between Blueberry and Trainwreck, Blue Wreck’s flavor is a complex mix of sweet berry, sour fruit, and tangy skunk. Its effects are typically described as clear-headed and active, with a burst of calm euphoria that can help you maintain a positive outlook throughout the day.","Blueberry,Earthy,Honey","485,1175,1224,824,654,270"
486,Blue Zombie,indica,4.32,"Relaxed,Euphoric,Hungry,Sleepy,Happy","Blue Zombie (not to be confused with the Zombie OG strain lineage) is a full indica that boasts medical-grade potency and effects. With notes of fresh ground coffee, fuel, and skunky grape, this strain packs a surprising diverse array of terpenes. Wrapping the mind in an uplifting, mood enhancing haze, Blue Zombie creeps onto the body with numbness and sedation within the first half hour. Patients suffering from chronic pain may benefit greatly from this particular cut.","Pungent,Earthy,Pepper","486,1979,701,1166,451,1147"
487,Papas Og,indica,4.32,"Relaxed,Focused,Happy,Giggly,Sleepy","Cultivated in Glendale, Arizona exclusively by Arizona Organix, Papa’s OG is an indica cannabis strain that provides positive and uplifting cerebral effects in unique combination with the classic indica full-body relaxation. Consumers find it to be functional and social while still remaining true to its indica roots. A descendant of Skywalker OG and OG Kush, Papa’s OG inherits a sweet and earthy grape aroma and potent medicinal effects suitable for patients treating pain, insomnia, and stress disorders.","Earthy,Pungent,Sweet","487,939,1538,1534,389,787"
488,Booger,hybrid,4.32,"Happy,Focused,Uplifted,Creative,Giggly","Booger may not have an appetizing name, but a look at this hybrid’s genetics may be all the convincing you need to give this strain a try: Strawberry Cough combines with Bubba Kush to create a balanced effect that walks the line between physical relaxation and cerebral energy. This Colorado native introduces itself with a sweet berry and sour skunk aroma while earthy, hashy flavors are detected on the exhale. With uplifting and calming effects, Booger uncoils stress and worry while encouraging a more lighthearted outlook on life (because seriously, you’re consuming a strain called “Booger”).","Earthy,Skunk,Diesel","488,1477,2151,652,1736,656"
489,Pink Death Star,indica,4.32,"Relaxed,Sleepy,Euphoric,Happy,Tingly","Pink Death Star is a flavorful creation by Riot Seeds. Known for its “spice rack” terpene profile, this strain reeks of cardamom, fennel, ginger, and pepper. This collection of flavors and the strain’s naturally high THC percentage make it a worthwhile addition to any strain collection. Pink Death Star delivers buds with deep purple hues and body-melting sedation, so naturally, this strain is best utilized in the evening.","Earthy,Spicy/Herbal,Flowery","489,748,747,467,412,49"
490,Sour Maui,sativa,4.32,"Uplifted,Energetic,Happy,Euphoric,Creative",Sour Maui is a sativa cross between Maui Wowie and Sour Diesel.,"Citrus,Nutty,Earthy","490,1138,629,1566,1198,1903"
491,Sour Power,hybrid,4.32,"Happy,Euphoric,Energetic,Talkative,Hungry","The three-time Cannabis Cup winning Sour Power is a sativa-dominant hybrid bred by HortiLab Seeds. A cross between StarBud and East Coast Sour Diesel, Sour Power buds are crowned with pale pointed leaves and a garland of orange hairs. Medical cannabis patients treating anxiety, PTSD, depression, nausea, Crohn’s disease, glaucoma, and inflammation have recommended Sour Power. However, the strain’s typically high THC content should be considered with caution by new consumers, as THC may aggravate anxiety symptoms in some individuals. Sour Power plants thrive indoors, with a flowering time of 9 to 11 weeks and heavy yields.","Diesel,Skunk,Pungent","491,1515,216,810,2131,666"
492,Pineapple Super Silver Haze,sativa,4.32,"Happy,Euphoric,Energetic,Focused,Tingly","Pineapple Super Silver Haze from Fire Bros. is a sativa strain that modifies the widely cherished Super Silver Haze with a Pineapple hybrid strain. This second parent is thought to be either Pineapple Express or Pineapple, a phenotype of Ed Rosenthal Super Bud. The Haze genetics in this strain come through in both flavor and effect, as Pineapple Super Silver Haze delivers a high-flying cerebral buzz alongside a spicy, zesty flavor. Its aroma is more of a tropical medley of candied mango, pineapple, and oranges. Like a cup of coffee, this sativa is a perfect pick-me-up with motivating, talkative, and creative effects and minimal heaviness in the body.","Pineapple,Sweet,Earthy","492,798,1840,581,1843,1878"
493,Big Sky Og,hybrid,4.32,"Relaxed,Tingly,Uplifted,Hungry,Sleepy",Big Sky OG from Elemental Seeds is an indica strain that competed in the 2014 L.A. Cannabis Cup.,"Pungent,Skunk,Diesel","493,1245,530,300,1087,1001"
494,Brainwreck,hybrid,4.32,"Creative,Focused,Uplifted,Happy,Euphoric","Brainwreck is the 50/50 hybrid cross of parent strains Trainwreck, Brain Child, and Brain. Trainwreck and Brain Child (Willy’s Wonder x Jack Herer) give this strain rich, lung-expanding notes of pine that blend well with the sweet, earthy aromas of its indica parentage. Brainwreck is exhilarating and cerebral from the onset, making it a worthwhile strain for consumers seeking to overcome fatigue. Its effects will remain mentally elevated even while the physical effects mellow and level out.","Citrus,Earthy,Sweet","494,344,1174,1365,824,81"
495,Predator Pink,hybrid,4.32,"Relaxed,Happy,Euphoric,Tingly,Uplifted","A cross between Plushberry and Starfighter, Predator Pink by Exotic Genetix is a 60/40 indica-dominant hybrid with a tropical candy flavor. Though less common than its green counterpart, some phenotypes express themselves in pastel pink and fuchsia hues. Beginning with a lift of the spirit and buzzing cerebral energy, Predator Pink’s effects eventually make their descent into meditative relaxation.","Earthy,Sweet,Tropical","495,1944,245,380,1476,894"
496,Sour Joker,sativa,4.32,"Uplifted,Energetic,Creative,Happy,Focused","Sour Joker is the stimulating sativa blend of Amnesia Haze and East Coast Sour Diesel (ECSD). This amped combination offers consumers a vigorous body buzz that is clear-headed and motivating, encouraging physical activity in or outside. Harness the mental clarity of this strain at lower doses and the fueled-up stimulation with continued use.","Earthy,Pungent,Tree,Fruit","496,1515,2131,216,1052,1931"
497,Primus,indica,4.32,"Relaxed,Happy,Euphoric,Hungry,Uplifted","Primus, also called Primus OG, is a complex indica strain that combines Arcata, Trainwreck, and 303 OG. Each parent strain passes on something special to Primus: Arcata with its creative activation, Trainwreck with its long-lasting euphoria, and 303 OG with its sour fruit flavors. This trifecta of duration, fragrance, and quality of high makes for a potent hybrid cherished by patients and recreational consumers alike. For those using cannabis medicinally, consider choosing Primus for evening management of depression, anxiety, appetite loss, or pain relief.","Earthy,Skunk,Pungent","497,1858,1148,409,5,1163"
